,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
0,2023/01/30 7:23:56 дп GMT+2,Male,18,yes,Сentral-north,temp_abroad,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English', 'other']",2,2
0,2023/01/30 7:23:56 дп GMT+2,Male,18,yes,West,temp_abroad,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English', 'other']",2,2
1,2023/01/30 11:38:28 дп GMT+2,Male,18,yes,Сentral-north,temp_abroad,2,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,2
2,2023/01/30 1:49:50 пп GMT+2,Male,18,yes,East,temp_abroad,4,4,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,2
3,2023/01/30 1:53:18 пп GMT+2,Female,19,yes,Сentral-north,temp_abroad,3,2,['English'],['English'],3,1
4,2023/01/30 1:55:05 пп GMT+2,Male,18,yes,East,perm_abroad,4,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",2,1
5,2023/01/30 1:55:27 пп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",4,3
6,2023/01/30 1:58:41 пп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,4,3,['Ukrainian'],['Ukrainian'],3,1
7,2023/01/30 1:59:06 пп GMT+2,Female,18,yes,South,temp_abroad,5,4,['russian'],['russian'],5,4
8,2023/01/30 1:59:24 пп GMT+2,Female,18,yes,Сentral-north,temp_abroad,4,2,['Ukrainian'],['English'],3,2
9,2023/01/30 2:05:17 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
10,2023/01/30 2:05:21 пп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,2,1,"['Ukrainian', 'russian']",['Ukrainian'],3,2
11,2023/01/30 2:05:47 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,3,1,['Ukrainian'],['Ukrainian'],4,1
12,2023/01/30 2:06:04 пп GMT+2,Male,21,yes,Сentral-north,in_Ukraine,2,2,['russian'],['Ukrainian'],3,1
13,2023/01/30 2:06:06 пп GMT+2,Female,17,yes,Сentral-north,in_Ukraine,3,1,['English'],"['Ukrainian', 'English']",2,1
14,2023/01/30 2:08:46 пп GMT+2,Female,20,yes,Сentral-north,in_Ukraine,5,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
15,2023/01/30 2:09:30 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,4,3,['russian'],"['English', 'russian']",5,5
16,2023/01/30 2:10:54 пп GMT+2,Female,18,yes,East,temp_abroad,4,3,"['Ukrainian', 'russian']","['Ukrainian', 'russian', 'other']",4,3
17,2023/01/30 2:11:05 пп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,4,4,['Ukrainian'],['Ukrainian'],3,2
18,2023/01/30 2:11:39 пп GMT+2,Female,22,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'other']",4,1
19,2023/01/30 2:12:36 пп GMT+2,Male,18,yes,Сentral-north,in_Ukraine,3,3,['Ukrainian'],['Ukrainian'],3,2
20,2023/01/30 2:14:52 пп GMT+2,Female,20,yes,Сentral-north,in_Ukraine,4,2,"['Ukrainian', 'russian']",['Ukrainian'],3,1
21,2023/01/30 2:18:27 пп GMT+2,Female,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",5,2
22,2023/01/30 2:19:29 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'russian']",3,1
23,2023/01/30 2:24:18 пп GMT+2,Female,24,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'russian']","['Ukrainian', 'russian']",3,2
24,2023/01/30 2:26:50 пп GMT+2,Female,17,yes,Сentral-north,in_Ukraine,4,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
24,2023/01/30 2:26:50 пп GMT+2,Female,17,yes,South,in_Ukraine,4,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
25,2023/01/30 2:28:21 пп GMT+2,Female,16,yes,East,in_Ukraine,5,2,['russian'],['Ukrainian'],4,1
26,2023/01/30 2:29:00 пп GMT+2,Female,19,yes,Сentral-north,temp_abroad,2,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,2
27,2023/01/30 2:30:35 пп GMT+2,Male,18,yes,West,temp_abroad,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
28,2023/01/30 2:32:44 пп GMT+2,Female,27,yes,Сentral-north,in_Ukraine,3,2,['Ukrainian'],"['Ukrainian', 'English']",3,1
29,2023/01/30 2:34:30 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,5,4,"['English', 'russian']","['English', 'russian']",4,3
30,2023/01/30 2:37:21 пп GMT+2,Male,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
31,2023/01/30 2:38:41 пп GMT+2,Female,15,yes,Сentral-north,perm_abroad,5,4,['English'],['English'],3,2
32,2023/01/30 2:39:18 пп GMT+2,Female,20,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",4,1
